NETWERK 1
NODES 15668
1519 2633 216
1520 2651 216
1521 2733 216
1522 141 217
1523 1704 217
1524 2710 217
1525 2467 218
1526 2687 218
1527 2689 218
1528 186 219
1529 2448 219
1530 2429 220
1531 59 221
1532 231 222
1533 2177 222
1534 2310 222
1535 104 223
1536 1417 223
1537 1444 223
1538 2149 223
1539 2251 223
1540 2269 223
1541 2281 223
1542 2288 223
1543 2216 224
1544 2236 224
1545 8 225
1546 254 225
1547 2195 225
1548 300 226
1549 675 227
1550 130 228
1551 657 228
1552 175 230
1553 1458 230
1554 1486 230
1555 48 231
1556 1168 231
1557 1183 231
1558 1198 231
1559 220 232
1560 1519 233
1561 1533 233
1562 1565 233
1563 1805 233
1564 1830 233
1565 2646 233
1566 94 234
1567 1486 234
1568 1632 234
1569 1764 234
1570 1789 234
1571 1896 234
1572 2921 234
1573 244 235
1574 1602 235
1575 1830 235
1576 1848 235
1577 1863 235
1578 2111 235
1579 2137 235
1580 -4 237
1581 288 237
1582 2920 237
1583 590 238
1584 1081 238
1585 1102 238
1586 335 239
1587 843 239
1588 855 239
1589 2896 239
1590 2917 239
1591 794 240
1592 812 240
1593 828 240
1594 867 240
1595 1006 240
1596 2877 240
1597 164 241
1598 733 241
1599 745 241
1600 758 241
1601 770 241
1602 782 241
1603 880 241
1604 2841 241
1605 37 242
1606 691 242
1607 712 242
1608 878 242
1609 2787 242
1610 114 243
1611 209 243
1612 590 243
1613 657 243
1614 675 243
1615 976 243
1616 2629 243
1617 2752 243
1618 2770 243
1619 -86 244
1620 621 244
1621 639 244
1622 2711 244
1623 2734 244
1624 83 245
1625 949 245
1626 1444 245
1627 2646 245
1628 2688 245
1629 2711 245
1630 931 246
1631 1420 246
1632 2588 246
1633 2611 246
1634 2627 246
1635 2669 246
1636 891 247
1637 2542 247
1638 2565 247
1639 31 248
1640 278 248
1641 892 248
1642 2509 248
1643 2514 248
1644 2520 248
1645 1486 249
1646 2467 249
1647 324 250
1648 1459 250
1649 2149 250
1650 2422 250
1651 2430 250
1652 2449 250
1653 -93 251
1654 -19 251
1655 1566 251
1656 2376 251
1657 153 252
1658 1486 252
1659 1519 252
1660 1533 252
1661 2891 252
1662 2916 252
1663 902 253
1664 2269 253
1665 2289 253
1666 2310 253
1667 103 254
1668 199 254
1669 855 254
